ID,Translation-Indonesia
100001740-n,http://idword-rdf.com/K27861
100002452-n,http://idword-rdf.com/K5240
100002684-n,http://idword-rdf.com/K47718
100003553-n,http://idword-rdf.com/K59956
100003993-n,http://idword-rdf.com/K26556
100004258-n,http://idword-rdf.com/K5243
100004475-n,http://idword-rdf.com/K48131
100004475-n,http://idword-rdf.com/K33882
100005787-n,http://idword-rdf.com/K5410
100006024-n,http://idword-rdf.com/K19853
100006150-n,http://idword-rdf.com/K21256
100006269-n,http://idword-rdf.com/K25698
100006484-n,http://idword-rdf.com/K60669
100007347-n,http://idword-rdf.com/K60106
100007846-n,http://idword-rdf.com/K48031
100007846-n,http://idword-rdf.com/K23012
100007846-n,http://idword-rdf.com/K21230
100015568-n,http://idword-rdf.com/K9942
100015568-n,http://idword-rdf.com/K24601
100015568-n,http://idword-rdf.com/K16444
100015568-n,http://idword-rdf.com/K19856
100015568-n,http://idword-rdf.com/K33882
100017402-n,http://idword-rdf.com/K16632
100017402-n,http://idword-rdf.com/K38161
100019226-n,http://idword-rdf.com/K2818
100019793-n,http://idword-rdf.com/K72140
100020270-n,http://idword-rdf.com/K72140
100021007-n,http://idword-rdf.com/K34588
100021445-n,http://idword-rdf.com/K33834
100021445-n,http://idword-rdf.com/K18587
100021914-n,http://idword-rdf.com/K18587
100022119-n,http://idword-rdf.com/K2575
100023083-n,http://idword-rdf.com/K2589
100023451-n,http://idword-rdf.com/K51742
100023953-n,http://idword-rdf.com/K46144
100023953-n,http://idword-rdf.com/K54087
100023953-n,http://idword-rdf.com/K46148
100024444-n,http://idword-rdf.com/K2986
100024900-n,http://idword-rdf.com/K47007
100026390-n,http://idword-rdf.com/K53515
100027365-n,http://idword-rdf.com/K33065
100028005-n,http://idword-rdf.com/K5413
100028468-n,http://idword-rdf.com/K71545
100029677-n,http://idword-rdf.com/K53928
100029976-n,http://idword-rdf.com/K56146
100030657-n,http://idword-rdf.com/K9252
100030657-n,http://idword-rdf.com/K53592
100031563-n,http://idword-rdf.com/K51875
100031563-n,http://idword-rdf.com/K26368
100032220-n,http://idword-rdf.com/K20298
100032912-n,http://idword-rdf.com/K45587
100033122-n,http://idword-rdf.com/K20325
100033914-n,http://idword-rdf.com/K30172
