ID,Translation-Indonesia
B7,K54798
B7,K61306
B13,K56476
B13,K3655
B16,K26845
B16,K33
B18,K48883
B21,K23618
B21,K48510
B21,K3707
B24,K144
B25,K67100
B26,K13976
B26,K48565
B29,K61931
B29,K64881
B35,K19137
B40,K25238
B40,K2999
B40,K47436
B40,K65988
B40,K47251
B40,K236
B48,K205
B49,K205
B51,K19137
B51,K66817
B51,K19150
B52,K19137
B52,K66817
B52,K19150
B54,K25773
B54,K64604
B54,K33102
B54,K3944
B57,K57304
B57,K13932
B59,K572
B59,K64316
B59,K2313
B62,K4133
B63,K14952
B63,K67792
B63,K61847
B67,K64330
B67,K71568
B68,K71569
B73,K58948
B74,K34038
B76,K45277
B78,K61264
B79,K69140
B84,K2460
B87,K2298
B94,K67972
B97,K60054
B99,K1427
B100,K29086
B101,K2313
B103,K3327
B103,K11893
B104,K1998
B104,K327
B108,K23684
B108,K65883
B108,K1427
B110,K17555
B111,K65128
B112,K716
B112,K46887
B112,K9929
B118,K54435
B120,K60106
B120,K24443
B120,K3661
B122,K68806
B122,K71569
B122,K13700
B122,K48329
B124,K49727
B125,K1058
B126,K24443
B126,K3662
B127,K65680
B127,K30658
B127,K56933
B129,K22668
B132,K57052
B132,K55923
B132,K49122
B135,K19779
B138,K71996
B139,K59010
B139,K66595
B143,K66417
B149,K21089
B149,K52021
B155,K33906
B155,K4768
B156,K4768
B160,K2795
B160,K31035
B160,K59145
B160,K32706
B163,K33785
B173,K31711
B176,K1873
B179,K45965
B183,K60280
B187,K338
B187,K31534
B188,K338
B188,K31534
B191,K22480
B193,K71053
B193,K54969
B195,K4283
B199,K68925
B202,K4283
B202,K3190
B212,K67636
B212,K67373
B214,K70708
B217,K39999
B219,K69261
B227,K19340
B227,K11780
B227,K64931
B238,K20339
B239,K67345
B256,K1483
B257,K62498
B257,K61720
B263,K32820
B264,K9824
B266,K3863
B275,K68925
B275,K68048
B281,K4969
B296,K59448
B296,K22480
B298,K48884
B300,K11041
B303,K15824
B309,K59542
B327,K1332
B338,K68665
B338,K61923
B339,K24279
B339,K9854
B347,K12806
B348,K28279
B349,K40475
B349,K59466
B353,K66392
B356,K5859
B356,K31828
B356,K1219
B356,K4844
B359,K65688
B359,K57345
B362,K65416
B368,K21710
B370,K4133
B372,K277
B373,K277
B374,K296
B375,K61264
B379,K23784
B382,K66921
B383,K12474
B384,K65687
B385,K70403
B387,K1867
B390,K2296
B390,K1490
B390,K4709
B392,K49063
B392,K60344
B396,K28547
B396,K70972
B396,K744
B396,K69140
B398,K54
B398,K23697
B400,K327
B400,K33125
B400,K33108
B402,K46845
B403,K31007
B403,K57032
B410,K47826
B410,K65358
B413,K1021
B420,K71606
B420,K19621
B424,K65610
B424,K4101
B425,K43211
B428,K21390
B434,K10726
B434,K58895
B434,K4990
B436,K46845
B441,K69140
B441,K46417
B441,K21946
B441,K59009
B444,K2792
B447,K30924
B449,K25970
B449,K23729
B460,K2042
B465,K22177
B466,K413
B473,K68982
B473,K67792
B473,K413
B479,K19279
B479,K49727
B484,K70500
B489,K66235
B492,K21946
B498,K62126
B498,K2075
B499,K56375
B499,K5433
B507,K48447
B510,K31349
B514,K344
B516,K22571
B519,K64326
B519,K4904
B519,K19431
B519,K45655
B519,K11608
B519,K34322
B519,K45978
B519,K59587
B522,K20016
B524,K2350
B525,K11952
B526,K4992
B526,K19435
B529,K19880
B529,K10726
B534,K19880
B535,K71080
B536,K709
B536,K70788
B540,K32777
B542,K68848
B542,K20573
B547,K23684
B548,K59070
B548,K61359
B548,K47563
B551,K33591
B551,K19462
B551,K6745
B551,K66093
B554,K19500
B556,K62591
B557,K62591
B565,K33293
B568,K33108
B568,K33125
B573,K6742
B573,K19450
B576,K26458
B576,K60280
B579,K27528
B582,K19579
B582,K6745
B590,K66944
B590,K27658
B599,K54969
B599,K71053
B600,K64381
B600,K9703
B600,K33777
B600,K427
B605,K2668
B605,K64211
B605,K3122
B605,K22940
B606,K47251
B606,K19462
B607,K4133
B607,K1782
B607,K1832
B607,K1782
B609,K59777
B612,K20573
B613,K31035
B613,K4844
B618,K2674
B619,K2835
B621,K57758
B624,K2068
B628,K1770
B633,K2942
B634,K10736
B634,K71996
B635,K19663
B635,K53515
B642,K2313
B644,K46441
B644,K4374
B644,K1779
B647,K57109
B651,K60054
B653,K30358
B653,K13386
B657,K19433
B661,K60557
B663,K3257
B664,K71996
B664,K13090
B664,K62017
B665,K46382
B674,K3318
B676,K19555
B680,K25984
B680,K66954
B681,K4851
B682,K12939
B682,K14481
B686,K46334
