ID,Translation-Indonesia
B7,http://idword-rdf.com/K54798
B7,http://idword-rdf.com/K61306
B13,http://idword-rdf.com/K56476
B13,http://idword-rdf.com/K3655
B16,http://idword-rdf.com/K26845
B16,http://idword-rdf.com/K33
B18,http://idword-rdf.com/K48883
B21,http://idword-rdf.com/K23618
B21,http://idword-rdf.com/K48510
B21,http://idword-rdf.com/K3707
B24,http://idword-rdf.com/K144
B25,http://idword-rdf.com/K67100
B26,http://idword-rdf.com/K13976
B26,http://idword-rdf.com/K48565
B29,http://idword-rdf.com/K61931
B29,http://idword-rdf.com/K64881
B35,http://idword-rdf.com/K19137
B40,http://idword-rdf.com/K25238
B40,http://idword-rdf.com/K2999
B40,http://idword-rdf.com/K47436
B40,http://idword-rdf.com/K65988
B40,http://idword-rdf.com/K47251
B40,http://idword-rdf.com/K236
B48,http://idword-rdf.com/K205
B49,http://idword-rdf.com/K205
B51,http://idword-rdf.com/K19137
B51,http://idword-rdf.com/K66817
B51,http://idword-rdf.com/K19150
B52,http://idword-rdf.com/K19137
B52,http://idword-rdf.com/K66817
B52,http://idword-rdf.com/K19150
B54,http://idword-rdf.com/K25773
B54,http://idword-rdf.com/K64604
B54,http://idword-rdf.com/K33102
B54,http://idword-rdf.com/K3944
B57,http://idword-rdf.com/K57304
B57,http://idword-rdf.com/K13932
B59,http://idword-rdf.com/K572
B59,http://idword-rdf.com/K64316
B59,http://idword-rdf.com/K2313
B62,http://idword-rdf.com/K4133
B63,http://idword-rdf.com/K14952
B63,http://idword-rdf.com/K67792
B63,http://idword-rdf.com/K61847
B67,http://idword-rdf.com/K64330
B67,http://idword-rdf.com/K71568
B68,http://idword-rdf.com/K71569
B73,http://idword-rdf.com/K58948
B74,http://idword-rdf.com/K34038
B76,http://idword-rdf.com/K45277
B78,http://idword-rdf.com/K61264
B79,http://idword-rdf.com/K69140
B84,http://idword-rdf.com/K2460
B87,http://idword-rdf.com/K2298
B94,http://idword-rdf.com/K67972
B97,http://idword-rdf.com/K60054
B99,http://idword-rdf.com/K1427
B100,http://idword-rdf.com/K29086
B101,http://idword-rdf.com/K2313
B103,http://idword-rdf.com/K3327
B103,http://idword-rdf.com/K11893
B104,http://idword-rdf.com/K1998
B104,http://idword-rdf.com/K327
B108,http://idword-rdf.com/K23684
B108,http://idword-rdf.com/K65883
B108,http://idword-rdf.com/K1427
B110,http://idword-rdf.com/K17555
B111,http://idword-rdf.com/K65128
B112,http://idword-rdf.com/K716
B112,http://idword-rdf.com/K46887
B112,http://idword-rdf.com/K9929
B118,http://idword-rdf.com/K54435
B120,http://idword-rdf.com/K60106
B120,http://idword-rdf.com/K24443
B120,http://idword-rdf.com/K3661
