ID,Translation-Batak
K33,http://btkword-rdf.com/B16
K38,http://btkword-rdf.com/B5682
K38,http://btkword-rdf.com/B10510
K46,http://btkword-rdf.com/B4827
K46,http://btkword-rdf.com/B4888
K54,http://btkword-rdf.com/B398
K54,http://btkword-rdf.com/B2968
K91,http://btkword-rdf.com/B8277
K123,http://btkword-rdf.com/B4132
K123,http://btkword-rdf.com/B6544
K123,http://btkword-rdf.com/B7259
K123,http://btkword-rdf.com/B8836
K144,http://btkword-rdf.com/B24
K144,http://btkword-rdf.com/B9460
K163,http://btkword-rdf.com/B2880
K163,http://btkword-rdf.com/B9695
K170,http://btkword-rdf.com/B5734
K198,http://btkword-rdf.com/B4888
K205,http://btkword-rdf.com/B48
K205,http://btkword-rdf.com/B49
K205,http://btkword-rdf.com/B4099
K213,http://btkword-rdf.com/B9230
K217,http://btkword-rdf.com/B3941
K236,http://btkword-rdf.com/B40
K236,http://btkword-rdf.com/B869
K239,http://btkword-rdf.com/B10907
K259,http://btkword-rdf.com/B4712
K277,http://btkword-rdf.com/B372
K277,http://btkword-rdf.com/B373
K293,http://btkword-rdf.com/B1902
K293,http://btkword-rdf.com/B10256
K293,http://btkword-rdf.com/B10334
K296,http://btkword-rdf.com/B374
K327,http://btkword-rdf.com/B104
K327,http://btkword-rdf.com/B400
K338,http://btkword-rdf.com/B187
K338,http://btkword-rdf.com/B188
K338,http://btkword-rdf.com/B10626
K342,http://btkword-rdf.com/B1654
K342,http://btkword-rdf.com/B1949
K342,http://btkword-rdf.com/B6540
K344,http://btkword-rdf.com/B514
K344,http://btkword-rdf.com/B2557
K413,http://btkword-rdf.com/B466
K413,http://btkword-rdf.com/B473
K413,http://btkword-rdf.com/B3464
K413,http://btkword-rdf.com/B9423
K413,http://btkword-rdf.com/B10065
K413,http://btkword-rdf.com/B10066
K427,http://btkword-rdf.com/B600
K503,http://btkword-rdf.com/B8658
K503,http://btkword-rdf.com/B10290
K512,http://btkword-rdf.com/B5377
K512,http://btkword-rdf.com/B6915
K512,http://btkword-rdf.com/B7503
K569,http://btkword-rdf.com/B1577
K569,http://btkword-rdf.com/B10261
K572,http://btkword-rdf.com/B59
K572,http://btkword-rdf.com/B10056
K639,http://btkword-rdf.com/B1810
K645,http://btkword-rdf.com/B3937
K695,http://btkword-rdf.com/B8632
K708,http://btkword-rdf.com/B5145
K709,http://btkword-rdf.com/B536
K709,http://btkword-rdf.com/B3201
K709,http://btkword-rdf.com/B3467
K716,http://btkword-rdf.com/B112
K718,http://btkword-rdf.com/B7519
K744,http://btkword-rdf.com/B396
K744,http://btkword-rdf.com/B11201
K746,http://btkword-rdf.com/B1209
K758,http://btkword-rdf.com/B4667
K758,http://btkword-rdf.com/B4823
K758,http://btkword-rdf.com/B5699
K758,http://btkword-rdf.com/B6222
K758,http://btkword-rdf.com/B6234
K764,http://btkword-rdf.com/B11152
K849,http://btkword-rdf.com/B7673
K849,http://btkword-rdf.com/B9615
K849,http://btkword-rdf.com/B10936
K864,http://btkword-rdf.com/B2281
K864,http://btkword-rdf.com/B3641
K864,http://btkword-rdf.com/B8751
K867,http://btkword-rdf.com/B3193
K884,http://btkword-rdf.com/B9348
K899,http://btkword-rdf.com/B9679
K984,http://btkword-rdf.com/B3878
K1021,http://btkword-rdf.com/B413
K1021,http://btkword-rdf.com/B1711
K1021,http://btkword-rdf.com/B9395
K1037,http://btkword-rdf.com/B5267
K1037,http://btkword-rdf.com/B7642
K1041,http://btkword-rdf.com/B8591
K1041,http://btkword-rdf.com/B9687
K1055,http://btkword-rdf.com/B894
K1058,http://btkword-rdf.com/B125
K1065,http://btkword-rdf.com/B8070
K1073,http://btkword-rdf.com/B4838
K1073,http://btkword-rdf.com/B9497
K1092,http://btkword-rdf.com/B8973
K1092,http://btkword-rdf.com/B8974
K1108,http://btkword-rdf.com/B4284
