ID,Translation-English
K29,http://wordnet-rdf.princeton.edu/wn31/105408439-n
K29,http://wordnet-rdf.princeton.edu/wn31/105564972-n
K29,http://wordnet-rdf.princeton.edu/wn31/106711403-n
K29,http://wordnet-rdf.princeton.edu/wn31/115241359-n
K31,http://wordnet-rdf.princeton.edu/wn31/102668615-n
K31,http://wordnet-rdf.princeton.edu/wn31/102668709-n
K33,http://wordnet-rdf.princeton.edu/wn31/113772555-n
K33,http://wordnet-rdf.princeton.edu/wn31/115230328-n
K33,http://wordnet-rdf.princeton.edu/wn31/115276147-n
K37,http://wordnet-rdf.princeton.edu/wn31/115284095-n
K38,http://wordnet-rdf.princeton.edu/wn31/109528550-n
K38,http://wordnet-rdf.princeton.edu/wn31/110219263-n
K38,http://wordnet-rdf.princeton.edu/wn31/300354532-s
K38,http://wordnet-rdf.princeton.edu/wn31/300595517-s
K38,http://wordnet-rdf.princeton.edu/wn31/300597981-s
K38,http://wordnet-rdf.princeton.edu/wn31/300681740-a
K38,http://wordnet-rdf.princeton.edu/wn31/301011536-s
K38,http://wordnet-rdf.princeton.edu/wn31/301442370-s
K38,http://wordnet-rdf.princeton.edu/wn31/301444620-s
K38,http://wordnet-rdf.princeton.edu/wn31/301562296-a
K38,http://wordnet-rdf.princeton.edu/wn31/301562587-s
K38,http://wordnet-rdf.princeton.edu/wn31/301740633-s
K38,http://wordnet-rdf.princeton.edu/wn31/301758424-a
K38,http://wordnet-rdf.princeton.edu/wn31/301758551-s
K38,http://wordnet-rdf.princeton.edu/wn31/301758923-a
K38,http://wordnet-rdf.princeton.edu/wn31/301759375-s
K38,http://wordnet-rdf.princeton.edu/wn31/301759536-s
K38,http://wordnet-rdf.princeton.edu/wn31/301762851-a
K38,http://wordnet-rdf.princeton.edu/wn31/302299232-s
K68,http://wordnet-rdf.princeton.edu/wn31/106523753-n
K68,http://wordnet-rdf.princeton.edu/wn31/107269124-n
K95,http://wordnet-rdf.princeton.edu/wn31/100394177-n
K95,http://wordnet-rdf.princeton.edu/wn31/113444662-n
K96,http://wordnet-rdf.princeton.edu/wn31/107126811-n
K98,http://wordnet-rdf.princeton.edu/wn31/301537654-s
K98,http://wordnet-rdf.princeton.edu/wn31/301600178-a
K98,http://wordnet-rdf.princeton.edu/wn31/301603174-a
K104,http://wordnet-rdf.princeton.edu/wn31/107220756-n
K104,http://wordnet-rdf.princeton.edu/wn31/109773382-n
K108,http://wordnet-rdf.princeton.edu/wn31/100231191-n
K108,http://wordnet-rdf.princeton.edu/wn31/101462944-n
K108,http://wordnet-rdf.princeton.edu/wn31/107334252-n
K117,http://wordnet-rdf.princeton.edu/wn31/113444788-n
K117,http://wordnet-rdf.princeton.edu/wn31/114310051-n
K118,http://wordnet-rdf.princeton.edu/wn31/100254262-n
K124,http://wordnet-rdf.princeton.edu/wn31/101013825-n
K128,http://wordnet-rdf.princeton.edu/wn31/114335599-n
K129,http://wordnet-rdf.princeton.edu/wn31/106020938-n
K131,http://wordnet-rdf.princeton.edu/wn31/105967204-n
K131,http://wordnet-rdf.princeton.edu/wn31/106223441-n
K131,http://wordnet-rdf.princeton.edu/wn31/108457622-n
K139,http://wordnet-rdf.princeton.edu/wn31/104769389-n
K139,http://wordnet-rdf.princeton.edu/wn31/105708590-n
K139,http://wordnet-rdf.princeton.edu/wn31/105862715-n
K139,http://wordnet-rdf.princeton.edu/wn31/106480622-n
K139,http://wordnet-rdf.princeton.edu/wn31/109774417-n
K139,http://wordnet-rdf.princeton.edu/wn31/200694095-v
K139,http://wordnet-rdf.princeton.edu/wn31/200736610-v
K139,http://wordnet-rdf.princeton.edu/wn31/201010315-v
K139,http://wordnet-rdf.princeton.edu/wn31/202281711-v
K139,http://wordnet-rdf.princeton.edu/wn31/300011776-a
K139,http://wordnet-rdf.princeton.edu/wn31/300865713-s
K139,http://wordnet-rdf.princeton.edu/wn31/301987622-s
K140,http://wordnet-rdf.princeton.edu/wn31/100393656-n
K140,http://wordnet-rdf.princeton.edu/wn31/102671631-n
K140,http://wordnet-rdf.princeton.edu/wn31/105708590-n
K140,http://wordnet-rdf.princeton.edu/wn31/105788101-n
K140,http://wordnet-rdf.princeton.edu/wn31/105862715-n
K140,http://wordnet-rdf.princeton.edu/wn31/109774417-n
K140,http://wordnet-rdf.princeton.edu/wn31/109777755-n
K140,http://wordnet-rdf.princeton.edu/wn31/301987622-s
K144,http://wordnet-rdf.princeton.edu/wn31/107704010-n
K144,http://wordnet-rdf.princeton.edu/wn31/109268118-n
K144,http://wordnet-rdf.princeton.edu/wn31/114793339-n
K144,http://wordnet-rdf.princeton.edu/wn31/114814055-n
K144,http://wordnet-rdf.princeton.edu/wn31/200384108-v
K147,http://wordnet-rdf.princeton.edu/wn31/114806848-n
K149,http://wordnet-rdf.princeton.edu/wn31/102384016-n
K149,http://wordnet-rdf.princeton.edu/wn31/103461130-n
K149,http://wordnet-rdf.princeton.edu/wn31/104968868-n
K149,http://wordnet-rdf.princeton.edu/wn31/104969725-n
K149,http://wordnet-rdf.princeton.edu/wn31/108498020-n
K149,http://wordnet-rdf.princeton.edu/wn31/200290154-v
K149,http://wordnet-rdf.princeton.edu/wn31/200290441-v
K149,http://wordnet-rdf.princeton.edu/wn31/300390371-s
K149,http://wordnet-rdf.princeton.edu/wn31/300391393-s
K149,http://wordnet-rdf.princeton.edu/wn31/301018282-s
K149,http://wordnet-rdf.princeton.edu/wn31/301611702-s
K149,http://wordnet-rdf.princeton.edu/wn31/301650120-s
K159,http://wordnet-rdf.princeton.edu/wn31/114049648-n
K163,http://wordnet-rdf.princeton.edu/wn31/200279669-v
K163,http://wordnet-rdf.princeton.edu/wn31/301930715-a
K163,http://wordnet-rdf.princeton.edu/wn31/301968492-s
