ID,Translation-Indonesia
B7,http://idword-rdf.com/K54798
B7,http://idword-rdf.com/K61306
B13,http://idword-rdf.com/K56476
B13,http://idword-rdf.com/K3655
B16,http://idword-rdf.com/K26845
B16,http://idword-rdf.com/K33
B18,http://idword-rdf.com/K48883
B21,http://idword-rdf.com/K23618
B21,http://idword-rdf.com/K48510
B21,http://idword-rdf.com/K3707
B24,http://idword-rdf.com/K144
B25,http://idword-rdf.com/K67100
B26,http://idword-rdf.com/K13976
B26,http://idword-rdf.com/K48565
B29,http://idword-rdf.com/K61931
B29,http://idword-rdf.com/K64881
B35,http://idword-rdf.com/K19137
B40,http://idword-rdf.com/K25238
B40,http://idword-rdf.com/K2999
B40,http://idword-rdf.com/K47436
B40,http://idword-rdf.com/K65988
B40,http://idword-rdf.com/K47251
B40,http://idword-rdf.com/K236
B48,http://idword-rdf.com/K205
B49,http://idword-rdf.com/K205
